6421812		sai		1		18		male		22201		450.00
6421812		sai		1		18		male		12267		1500.00
6421460		sai		1		18		male		22206		1300.00
6421812		sai		1		20		male		12267		1500.00
6421812		santhosh		2		20		male		22201		900.00
6421812		ravi		1		25		male		12953		1400.00
6421812		sai		1		18		male		12951		1200.00
6421812		ravi		1		18		male		22206		1300.00
6421812		ravi		1		20		male		12268		1500.00
6421812		ra		1		12		male		12437		900.00
6421812		sai		1		15		male		12430		1500.00
6421812		sai		1		18		male		12430		1500.00
